id,name,qualities,courses,career,zone,availability
1,,"['paciente', 'carinosa', 'observadora', 'proactiva', 'ludica']","['psicologia_infantil', 'cuidado_infantil', 'cuidado_infantil']","['psicologia', 'pedagogia', 'pediatria']",desconocido,False
2,,"['empatica', 'asertiva', 'flexible']","['educacion_y_aprendizaje', 'nutricion_y_alimentacion']","['psicologia', 'psicologia']",guadalajara,True
3,,"['empatica', 'paciente', 'carinosa', 'observadora', 'flexible', 'ludica', 'bilingue']","['desarrollo_infantil', 'cuidado_infantil', 'desarrollo_infantil', 'lactancia_y_cuidado_bebes']","['nutricion', 'pedagogia', 'pediatria']",guadalajara,True
4,,"['empatica', 'paciente', 'observadora', 'asertiva', 'proactiva', 'flexible']","['lactancia_y_cuidado_bebes', 'psicologia_infantil', 'desarrollo_infantil', 'comunicacion_y_lenguaje']","['psicologia', 'pediatria']",guadalajara,True
5,,"['creativa', 'observadora', 'ludica']","['cuidado_infantil', 'disciplina_y_comportamiento', 'inclusion_y_diversidad']",['psicologia'],guadalajara,True
6,,"['empatica', 'creativa', 'paciente', 'carinosa', 'proactiva', 'bilingue']","['desarrollo_infantil', 'psicologia_infantil', 'lactancia_y_cuidado_bebes', 'lactancia_y_cuidado_bebes']","['enfermeria', 'psicologia', 'pediatria']",zapopan,True
7,,['observadora'],"['lactancia_y_cuidado_bebes', 'educacion_y_aprendizaje']","['nutricion', 'enfermeria', 'pedagogia']",zapopan,True
8,,"['creativa', 'observadora', 'ludica', 'bilingue']","['inclusion_y_diversidad', 'primeros_auxilios', 'primeros_auxilios', 'comunicacion_y_lenguaje']",['terapia_psicomotriz'],guadalajara,True
9,,"['carinosa', 'flexible', 'bilingue']","['desarrollo_infantil', 'desarrollo_infantil']",['pedagogia'],guadalajara,True
10,,"['empatica', 'paciente', 'observadora', 'asertiva', 'flexible', 'bilingue']","['cuidado_infantil', 'desarrollo_infantil', 'educacion_y_aprendizaje', 'disciplina_y_comportamiento']","['psicologia', 'enfermeria', 'pedagogia']",guadalajara,True
11,,"['empatica', 'asertiva']","['psicologia_infantil', 'lactancia_y_cuidado_bebes', 'psicologia_infantil', 'cuidado_infantil']","['nutricion', 'psicologia', 'trabajo_social']",guadalajara,True
12,,['ludica'],"['lactancia_y_cuidado_bebes', 'inclusion_y_diversidad', 'primeros_auxilios', 'disciplina_y_comportamiento']","['psicopedagogia', 'pediatria']",guadalajara,True
13,,"['empatica', 'paciente', 'carinosa']","['comunicacion_y_lenguaje', 'psicologia_infantil', 'lactancia_y_cuidado_bebes', 'primeros_auxilios']","['psicopedagogia', 'pediatria']",guadalajara,True
14,,"['creativa', 'asertiva', 'proactiva', 'flexible']","['nutricion_y_alimentacion', 'nutricion_y_alimentacion', 'nutricion_y_alimentacion']","['psicologia', 'pediatria', 'trabajo_social']",guadalajara,True
15,,"['creativa', 'asertiva', 'flexible']",['comunicacion_y_lenguaje'],"['enfermeria', 'psicologia']",guadalajara,True
16,,"['paciente', 'observadora', 'asertiva', 'proactiva']","['inclusion_y_diversidad', 'primeros_auxilios', 'comunicacion_y_lenguaje']","['psicologia', 'enfermeria', 'pediatria']",guadalajara,True
17,,['creativa'],"['educacion_y_aprendizaje', 'primeros_auxilios']","['nutricion', 'psicologia', 'pediatria']",guadalajara,True
18,,"['empatica', 'creativa', 'carinosa', 'asertiva', 'flexible', 'ludica', 'bilingue']",['disciplina_y_comportamiento'],['pediatria'],guadalajara,True
